,Date
1052,13/02/2020
1053,13/02/2020
1054,14/02/2020
1055,14/02/2020
1056,14/02/2020
1057,14/02/2020
1058,14/02/2020
1059,14/02/2020
1060,14/02/2020
1061,14/02/2020
1062,14/02/2020
1063,14/02/2020
1064,14/02/2020
1065,14/02/2020
1066,14/02/2020
1067,14/02/2020
1068,14/02/2020
1069,14/02/2020
1070,14/02/2020
1071,14/02/2020
1072,14/02/2020
1073,14/02/2020
1074,14/02/2020
1075,14/02/2020
1076,14/02/2020
1077,14/02/2020
1078,15/02/2020
1079,15/02/2020
1080,15/02/2020
1081,15/02/2020
1082,15/02/2020
1083,15/02/2020
1084,15/02/2020
1085,15/02/2020
1086,15/02/2020
1087,15/02/2020
1088,15/02/2020
1089,15/02/2020
1090,15/02/2020
1091,15/02/2020
1092,15/02/2020
1093,15/02/2020
1094,15/02/2020
1095,15/02/2020
1096,15/02/2020
1097,15/02/2020
1098,15/02/2020
1099,15/02/2020
1100,15/02/2020
1101,15/02/2020
1102,16/02/2020
1103,16/02/2020
1104,16/02/2020
1105,16/02/2020
1106,16/02/2020
1107,16/02/2020
1108,16/02/2020
1109,16/02/2020
1110,16/02/2020
1111,16/02/2020
1112,16/02/2020
1113,16/02/2020
1114,16/02/2020
1115,16/02/2020
1116,16/02/2020
1117,16/02/2020
1118,16/02/2020
1119,16/02/2020
1120,16/02/2020
1121,16/02/2020
1122,16/02/2020
1123,16/02/2020
1124,16/02/2020
1125,16/02/2020
1126,17/02/2020
1127,17/02/2020
1128,17/02/2020
1129,17/02/2020
1130,17/02/2020
1131,17/02/2020
1132,17/02/2020
1133,17/02/2020
1134,17/02/2020
1135,17/02/2020
1136,17/02/2020
1137,17/02/2020
1138,17/02/2020
1139,17/02/2020
1140,17/02/2020
1141,17/02/2020
1142,17/02/2020
1143,17/02/2020
1144,17/02/2020
1145,17/02/2020
1146,17/02/2020
1147,17/02/2020
1148,17/02/2020
1149,17/02/2020
1150,18/02/2020
1151,18/02/2020
1152,18/02/2020
1153,18/02/2020
1154,18/02/2020
1155,18/02/2020
1156,18/02/2020
1157,18/02/2020
1158,18/02/2020
1159,18/02/2020
1160,18/02/2020
1161,18/02/2020
1162,18/02/2020
1163,18/02/2020
1164,18/02/2020
1165,18/02/2020
1166,18/02/2020
1167,18/02/2020
1168,18/02/2020
1169,18/02/2020
1170,18/02/2020
1171,18/02/2020
1172,18/02/2020
1173,18/02/2020
1174,19/02/2020
1175,19/02/2020
1176,19/02/2020
1177,19/02/2020
1178,19/02/2020
1179,19/02/2020
1180,19/02/2020
1181,19/02/2020
1182,19/02/2020
1183,19/02/2020
1184,19/02/2020
1185,19/02/2020
1186,19/02/2020
1187,19/02/2020
1188,19/02/2020
1189,19/02/2020
1190,19/02/2020
1191,19/02/2020
1192,19/02/2020
1193,19/02/2020
1194,19/02/2020
1195,19/02/2020
1196,19/02/2020
1197,19/02/2020
